[2025-07-11 06:00:01] INFO - 🔧 Logging initialized
[2025-07-11 06:00:02] INFO - 프로그램 시작됨
[2025-07-11 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-11 06:00:19] INFO - 🔢 총 공고 수: 183325건 → 최대 페이지 수: 3667 페이지
[2025-07-11 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-11 06:00:48] INFO - 0133 | 화이팅한의원 | 서울 목동 화이팅한의원 마케터 모십니다(재택불가, 디자이너) | 8시간 전 등록
[2025-07-11 06:00:48] INFO - 0134 | 피플라이프㈜ | 용산 / 보험설계사 경력자 채용 [업계 다양한 DB 사용 가능] | 8시간 전 등록
[2025-07-11 06:00:48] INFO - 0135 | 피플라이프㈜ | [용산-직전 연봉 대비 지원금 지급] 인큐 사업단장/지점장 채용 공고 | 8시간 전 등록
[2025-07-11 06:00:48] INFO - 0136 | ㈔한국기술개발협회 | [재택근무] (사)한국기술개발협회 지원사업 홍보게시물 포스팅(하루1시간) | 8시간 전 등록
[2025-07-11 06:00:49] INFO - 0137 | 보람상조피플주식회사 | [ 긴급 ] [ 특별채용 ] 보람상조 지점장 지원자 모집 | 8시간 전 등록
[2025-07-11 06:00:49] INFO - 0138 | 인카금융서비스㈜ | 남양주-TOT본부장-입사지원금/DB 다양한지원-신입경력 재무설계사 채용 | 8시간 전 등록
[2025-07-11 06:00:49] INFO - 0139 | 에이스경영자문그룹 | 장기요양기관에서 기장 및 사무, 사회복지 업무 하셨던 분 | 8시간 전 등록
[2025-07-11 06:00:49] INFO - 0140 | 인카금융서비스㈜ | 아산-TOT 본부장-입사지원금/DB 다양한지원-신입경력 재무설계사 채용 | 8시간 전 등록
[2025-07-11 06:00:49] INFO - 0141 | 인카금융서비스㈜ | [TOT 본부장-입사지원금/DB 다양한 지원] 신입/경력 재무설계사 채용 | 8시간 전 등록
[2025-07-11 06:00:49] INFO - 0142 | ㈜에스올댓 | (주)에스올댓 [신입, 경력] 프리랜서 경호원 채용 | 8시간 전 등록
[2025-07-11 06:00:49] INFO - 0143 | 올리앤 | 이탈리아 레스토랑 올리앤에서 주방쉐프 모집 | 8시간 전 등록
[2025-07-11 06:00:50] INFO - 0144 | 한화생명금융서비스㈜ | 충청남도-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집 | 8시간 전 등록
[2025-07-11 06:00:50] INFO - 0145 | 코튼클럽사운즈한남㈜ | [코튼클럽 사운즈한남] 재즈클럽 주방 요리사 경력/신입 채용(주4회/8시간) | 8시간 전 등록
[2025-07-11 06:00:50] INFO - 0146 | 한화생명금융서비스㈜ | 부산시-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집 | 8시간 전 등록
[2025-07-11 06:00:50] INFO - 0147 | 사랑모아금웅서비스박숙영 | [지점장/관리자급 모집] 파격적인 지원/ 법인카드 지급/ 쾌적한 업무환경 | 8시간 전 등록
