[2025-07-19 06:00:02] INFO - 🔧 Logging initialized
[2025-07-19 06:00:02] INFO - 프로그램 시작됨
[2025-07-19 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-19 06:00:16] INFO - 🔢 총 공고 수: 182067건 → 최대 페이지 수: 3642 페이지
[2025-07-19 06:00:16] INFO - 
📄 현재 페이지: 1
[2025-07-19 06:00:45] INFO - 0147 | 에이아이에이프리미어파트너스㈜ | [청담동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용 | 8시간 전 등록
[2025-07-19 06:00:45] INFO - 0148 | 에이아이에이프리미어파트너스㈜ | [범어동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용 | 8시간 전 등록
[2025-07-19 06:00:45] INFO - 0149 | 에이아이에이프리미어파트너스㈜ | [연산동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용 | 8시간 전 등록
[2025-07-19 06:00:45] INFO - 0150 | 에이아이에이프리미어파트너스㈜ | [다산동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용 | 8시간 전 등록
[2025-07-19 06:00:45] INFO - ⏱ 3.10초 대기
[2025-07-19 06:00:49] INFO - 
📄 현재 페이지: 4
[2025-07-19 06:00:49] INFO - 0151 | ㈜애월빵공장천안 | 애월빵공장 천안에서 카페부 바리스타 주마 직원 채용합니다. | 8시간 전 등록
[2025-07-19 06:00:49] INFO - 0152 | ㈜본스타미사하남캠퍼스 | 본스타 미사하남캠퍼스 무용 강사 채용 | 8시간 전 등록
[2025-07-19 06:00:49] INFO - 0153 | ㈜본스타미사하남캠퍼스 | 본스타 미사하남캠퍼스 뮤지컬 강사 채용공고 | 8시간 전 등록
[2025-07-19 06:00:50] INFO - 0154 | ㈜코아티엠에스 | [인터폰 상담] 아이파킹 출차시스템 인바운드상담 /낮12시-21시 근무 | 8시간 전 등록
[2025-07-19 06:00:50] INFO - 0155 | ㈜두낫 | [스타필드마켓 킨텍스]베이커리카페 제빵사 경력직 and 막내급구합니다 | 8시간 전 등록
[2025-07-19 06:00:50] INFO - 0156 | 그린베이커리 | 대전 그린베이커리 판매직원 모집합니다. | 8시간 전 등록
