[2025-06-28 06:00:02] INFO - 🔧 Logging initialized
[2025-06-28 06:00:02] INFO - 프로그램 시작됨
[2025-06-28 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-06-28 06:00:40] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-06-28 06:00:40] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-06-28 06:00:40] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-06-28 06:00:54] INFO - 🔢 총 공고 수: 177674건 → 최대 페이지 수: 3554 페이지
[2025-06-28 06:00:54] INFO - 
📄 현재 페이지: 1
[2025-06-28 06:01:18] INFO - 0101 | ㈜에이젝코리아 | [인천/연수구/생산직] DP충전팀 채용(식사제공) | 5시간 전 등록
[2025-06-28 06:01:18] INFO - 0102 | 더클래식500/펜타즈호텔 | [더클래식500/펜타즈호텔] 경영본부·고객본부 각 부문 신입 및 경력 채용 | 5시간 전 등록
[2025-06-28 06:01:18] INFO - 0103 | 유엔잡㈜ | HR 아웃소싱기업 잡매니저 채용 | 5시간 전 등록
[2025-06-28 06:01:18] INFO - 0104 | ㈜동양이엠에스 | [한남동/정규전환가능/현차경력자가능] 현대자동차 고위임원 수행기사 채용 | 5시간 전 등록
[2025-06-28 06:01:18] INFO - 0105 | 애드민 | [곤지암] 오뚜기물류센터 현장 직원 모집 | 5시간 전 등록
[2025-06-28 06:01:18] INFO - 0106 | ㈜미디어윌 부동산사업부 | [서대문]주5일 부동산 플랫폼 다방 부동산써브 영업 | 5시간 전 등록
[2025-06-28 06:01:19] INFO - 0107 | 고려휴먼스㈜ | [합정역/워라벨최강/업무수월] KB손해사정 사무보조 | 5시간 전 등록
[2025-06-28 06:01:19] INFO - 0108 | 고려휴먼스㈜ | [318만/공기업/범내골역] 한국자산관리공사 채무조정 약정체결 | 5시간 전 등록
[2025-06-28 06:01:19] INFO - 0109 | ㈜웅진 | [월급 260만 / 아웃바운드 / TM] 한의원 정규 매니저 채용 | 5시간 전 등록
[2025-06-28 06:01:19] INFO - 0110 | ㈜이노스트 | [가산] 경기도교육 인사 업무시스템 전산화 구축 사업 즉시 6개월 | 6시간 전 등록
[2025-06-28 06:01:19] INFO - 0111 | ㈜제이엔씨헬스케어 | [김포/운양동] 커뮤니티센터 오후 트레이너 구인 | 6시간 전 등록
[2025-06-28 06:01:19] INFO - 0112 | ㈜하이워터 | 사이버펑크 오컬트 바 [하이워터] 정규직 바텐더(매니저) 모집 | 6시간 전 등록
[2025-06-28 06:01:20] INFO - 0113 | 주식회사 슬립베러베이비코리아 | 주식회사 슬립베러베이비코리아 영상 기획자 채용 (콘텐츠 디렉터) | 6시간 전 등록
[2025-06-28 06:01:20] INFO - 0114 | 리안소프트㈜ | 자사 제품 및 캐릭터 개발 | 6시간 전 등록
