[2025-07-18 06:00:02] INFO - 🔧 Logging initialized
[2025-07-18 06:00:02] INFO - 프로그램 시작됨
[2025-07-18 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-18 06:00:39] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-18 06:00:39] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-18 06:00:39] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-07-18 06:01:15] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-18 06:01:15] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-18 06:01:15] INFO - 
🚀 크롤러 실행 시도 3/3
[2025-07-18 06:01:29] INFO - 🔢 총 공고 수: 182866건 → 최대 페이지 수: 3658 페이지
[2025-07-18 06:01:29] INFO - 
📄 현재 페이지: 1
[2025-07-18 06:01:45] INFO - 0074 | ㈜케이티아이에스 | [신입/경력] KT고객센터 정규직 상담사 상시 채용(전직군 채용) | 5시간 전 등록
[2025-07-18 06:01:45] INFO - 0075 | 용마로지스㈜ | [동아쏘시오그룹] 2025년 7월, 각 부문별 신입 및 경력 채용 | 5시간 전 등록
[2025-07-18 06:01:45] INFO - 0076 | 트랜스코스모스코리아 | [숏폼보기] SNS 숏폼 영상컨텐츠 분류 모니터링 (주간로테이션) Zi6Z | 5시간 전 등록
[2025-07-18 06:01:45] INFO - 0077 | ㈜동양이엠에스 | [더현대서울 여의도] 바리스타 채용(6시간/고정근무) | 5시간 전 등록
[2025-07-18 06:01:45] INFO - 0078 | 리드커리어 주식회사 | [잠실/단기] 쿠팡 본사 IT자산관리 단기 프로젝트 대규모 채용 | 5시간 전 등록
[2025-07-18 06:01:45] INFO - 0079 | ㈜유니에스 | [ 세브란스병원 ] 연세대 의과대학 행정지원 사무직 채용 | 5시간 전 등록
[2025-07-18 06:01:45] INFO - 0080 | ㈜케이티아이에스 | [지원금40만 / 평일휴무] KT텔레캅 고객상담사 모집 | 5시간 전 등록
[2025-07-18 06:01:46] INFO - 0081 | ㈜스카우트 | [스카우트] 잡매니저 및 사업운영 담당자 모집 | 5시간 전 등록
[2025-07-18 06:01:46] INFO - 0082 | 주식회사 엠피씨플러스 | [중국어 상담] 신세계면세점 고객센터 인바운드(게시판) 상담사 채용 | 5시간 전 등록
[2025-07-18 06:01:46] INFO - 0083 | ㈜엠제이플렉스 | [TV조선/광화문/식사제공/사무지원] 비용처리/행정 지원/사무보조 채용 | 5시간 전 등록
[2025-07-18 06:01:46] INFO - 0084 | ㈜엠제이플렉스 | [선유도역/정규직전환有/복지최상/] 상품관련 MA/개발지원 업무 | 5시간 전 등록
[2025-07-18 06:01:46] INFO - 0085 | ㈜웅진 | [웅진] 왕초보 가능 / 영업 X주말 X / 코웨이 단순 고객센터 상담 채용 | 5시간 전 등록
[2025-07-18 06:01:46] INFO - 0086 | 프리머스HR㈜ | [성수역 2번출구/정착지원금/월250] 교원웰스 렌탈 인바운드 상담원 모집 | 5시간 전 등록
[2025-07-18 06:01:47] INFO - 0087 | ㈜에스이에이치인터내셔널 | [쥬비스 창원점] 고객응대 및 기기관리 담당자 모집 (평일/8시간) | 5시간 전 등록
[2025-07-18 06:01:47] INFO - 0088 | 에이스휴먼파워㈜ | [월 298만/레스토랑] 라그릴리아 조리/홀 서비스 채용 | 5시간 전 등록
[2025-07-18 06:01:47] INFO - 0089 | ㈜엠제이플렉스 | [SM엔터테인먼트/결산PI] 전표처리/지출 데이터 검수/계약 관리/의상 DB | 5시간 전 등록
[2025-07-18 06:01:47] INFO - 0090 | 토스씨엑스㈜ | [토스씨엑스] 평일/주말/야간 사무보조 알바 채용 중(빠른 지원 우대) | 6시간 전 등록
[2025-07-18 06:01:47] INFO - 0091 | 한온시스템㈜ | [한온시스템] SAP ERP FCM 모듈담당 | 6시간 전 등록
