[2025-06-26 06:00:01] INFO - 🔧 Logging initialized
[2025-06-26 06:00:01] INFO - 프로그램 시작됨
[2025-06-26 06:00:14] INFO - 🔢 총 공고 수: 175931건 → 최대 페이지 수: 3519 페이지
[2025-06-26 06:00:14] INFO - 
📄 현재 페이지: 1
[2025-06-26 06:00:49] INFO - 0153 | 에이아이에이프리미어파트너스㈜ | [대구시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-26 06:00:49] INFO - 0154 | 단국대학교천안캠퍼스산학협력단 | [천안] 단국대학교 혁신항암신약연구소 행정 연구원 모집 | 8시간 전 등록
[2025-06-26 06:00:49] INFO - 0155 | 행복추구 패러다임㈜kcms | 판교 고객사 출입관리시스템 유지보수 및 개발 (s00) | 8시간 전 등록
[2025-06-26 06:00:49] INFO - 0156 | ㈜케이에이치아이 | 경영관리 경력 사용 채용 | 8시간 전 등록
[2025-06-26 06:00:50] INFO - 0157 | 에이아이에이프리미어파트너스㈜ | [광주시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-26 06:00:50] INFO - 0158 | 굿리치 밸류지점 | [강남역-다양한 DB/섭시드 지원] 개인/법인 컨설턴트 및 관리자 채용 | 8시간 전 등록
[2025-06-26 06:00:50] INFO - 0159 | 굿리치 밸류지점 | [본사 직영 운영-조건 최고] 차세대 금융전문가 과정 공개 채용 | 8시간 전 등록
[2025-06-26 06:00:50] INFO - 0160 | 에이아이에이프리미어파트너스㈜ | [야당동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용 | 8시간 전 등록
[2025-06-26 06:00:50] INFO - 0161 | 에이아이에이프리미어파트너스㈜ | [청담동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용 | 8시간 전 등록
[2025-06-26 06:00:50] INFO - 0162 | 에이아이에이프리미어파트너스㈜ | [범어동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용 | 8시간 전 등록
