[2025-07-09 06:00:01] INFO - 🔧 Logging initialized
[2025-07-09 06:00:02] INFO - 프로그램 시작됨
[2025-07-09 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-09 06:00:15] INFO - 🔢 총 공고 수: 179946건 → 최대 페이지 수: 3599 페이지
[2025-07-09 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-09 06:00:44] INFO - 0135 | 흥국생명보험㈜ | [2025년 본사직영 신규채용] 기본급300. 정착지윈금지급. 복합TM센터 | 8시간 전 등록
[2025-07-09 06:00:44] INFO - 0136 | ㈜그랜드썬기술단 | 태양광 발전설비-전기설계 경력자 모집 | 8시간 전 등록
[2025-07-09 06:00:44] INFO - 0137 | 마레지노 | 마레지노 일산점 브런치 레스토랑 주방팀 모집 | 8시간 전 등록
[2025-07-09 06:00:44] INFO - 0138 | 인카금융서비스㈜ | 남양주-TOT본부장-입사지원금/DB 다양한지원-신입경력 재무설계사 채용 | 8시간 전 등록
[2025-07-09 06:00:44] INFO - 0139 | 신한생명보험 | [본사직영 콜센터 직원 모집] 안정적인 급여 및 교육비/ 정착지원금 지급 | 8시간 전 등록
[2025-07-09 06:00:44] INFO - 0140 | 인카금융서비스㈜ | 아산-TOT 본부장-입사지원금/DB 다양한지원-신입경력 재무설계사 채용 | 8시간 전 등록
[2025-07-09 06:00:44] INFO - 0141 | ㈜텐지노그룹 | 2025 서비스디자이너 채용 공고 | 8시간 전 등록
[2025-07-09 06:00:45] INFO - 0142 | 인카금융서비스㈜ | [TOT 본부장-입사지원금/DB 다양한 지원] 신입/경력 재무설계사 채용 | 8시간 전 등록
[2025-07-09 06:00:45] INFO - 0143 | 이수정보㈜ | [증미] OO기업 글로벌사이트 AA/SWA 운영(고급) | 8시간 전 등록
[2025-07-09 06:00:45] INFO - 0144 | 사랑모아금웅서비스박숙영 | [지점장/관리자급 모집] 파격적인 지원/ 법인카드 지급/ 쾌적한 업무환경 | 8시간 전 등록
[2025-07-09 06:00:45] INFO - 0145 | 한화생명금융서비스㈜ | 충청남도-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집 | 8시간 전 등록
[2025-07-09 06:00:45] INFO - 0146 | 한화생명금융서비스㈜ | 부산시-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집 | 8시간 전 등록
[2025-07-09 06:00:45] INFO - 0147 | ㈜동일이엔티 | 경영지원 / 전산입력 / 사무보조 정규직 인원 채용합니다. | 8시간 전 등록
[2025-07-09 06:00:46] INFO - 0148 | 한화생명금융서비스㈜ | 부천시-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집 | 8시간 전 등록
[2025-07-09 06:00:46] INFO - 0149 | 이수정보㈜ | [여의도] 금융사 인프라 장비 운영(네트워크/보안/초급) | 8시간 전 등록
[2025-07-09 06:00:46] INFO - 0150 | ㈜동일이엔티 | (주)동일이엔티 납품 및 창고관리직 모집공고 | 8시간 전 등록
[2025-07-09 06:00:46] INFO - ⏱ 2.29초 대기
[2025-07-09 06:00:49] INFO - 
📄 현재 페이지: 4
[2025-07-09 06:00:49] INFO - 0151 | 성원마루철거 | 마루철거 팀원 모집합니다 | 8시간 전 등록
[2025-07-09 06:00:49] INFO - 0152 | JTD과학학원 | 파트타임 수학 강사 모집 | 8시간 전 등록
[2025-07-09 06:00:49] INFO - 0153 | (주)케이씨엠에스(kcms) | 명동 금융권 프로젝트 사무보조 (c10) | 8시간 전 등록
