[2025-07-03 06:00:01] INFO - 🔧 Logging initialized
[2025-07-03 06:00:02] INFO - 프로그램 시작됨
[2025-07-03 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-03 06:00:19] INFO - 🔢 총 공고 수: 173809건 → 최대 페이지 수: 3477 페이지
[2025-07-03 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-03 06:00:43] INFO - 0115 | 에이아이프리미어파트너스㈜ | [천안시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-03 06:00:43] INFO - 0116 | 에이아이프리미어파트너스㈜ | [부천시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-03 06:00:43] INFO - 0117 | 에이아이프리미어파트너스㈜ | [서대문역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-03 06:00:44] INFO - 0118 | 에이아이프리미어파트너스㈜ | [야탑역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-03 06:00:44] INFO - 0119 | 에이아이프리미어파트너스㈜ | [부평역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-03 06:00:44] INFO - 0120 | Luna Creative Communications | 루나크리에이티브-경력직 제작담당자 모집 | 8시간 전 등록
[2025-07-03 06:00:44] INFO - 0121 | 인카금융서비스㈜ | 남양주-TOT본부장-입사지원금/DB 다양한지원-신입경력 재무설계사 채용. | 8시간 전 등록
[2025-07-03 06:00:44] INFO - 0122 | 인카금융서비스㈜ | 아산-TOT 본부장-입사지원금/DB 다양한지원-신입경력 재무설계사 채용. | 8시간 전 등록
[2025-07-03 06:00:44] INFO - 0123 | 인카금융서비스㈜ | [TOT 본부장-입사지원금/DB 다양한 지원] 신입/경력 재무설계사 채용. | 8시간 전 등록
[2025-07-03 06:00:45] INFO - 0124 | 파워잉글리쉬어학원 | 파풔잉글리쉬어학원 성인 영어회화 강사 모집 | 8시간 전 등록
[2025-07-03 06:00:45] INFO - 0125 | 사당돈 | 사당돈에서 주방직원을 모집합니다. | 8시간 전 등록
[2025-07-03 06:00:45] INFO - 0126 | 나나뷰티그룹 | [나나성형외과] 온라인 마케팅 담당자 채용 | 8시간 전 등록
[2025-07-03 06:00:45] INFO - 0127 | Jeon Po Staunton Ltd. | 부산의 밤 홍콩 워킹 홀리데이 모집 (주방,홀) | 8시간 전 등록
[2025-07-03 06:00:45] INFO - 0128 | 나나뷰티그룹 | [나나성형외과] 모델/인플루언서 마케팅 팀장 채용 | 8시간 전 등록
[2025-07-03 06:00:45] INFO - 0129 | 한화생명금융서비스㈜ | 충청남도-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집. | 8시간 전 등록
[2025-07-03 06:00:45] INFO - 0130 | 흥국생명보험㈜ | [본사직영 영업실장/ 관리자급 모집] 업계1위 복합TM센터, 업무만족도 1위 | 8시간 전 등록
[2025-07-03 06:00:46] INFO - 0131 | 한국개발연구원 | 2025년 3분기 한국개발연구원(KDI) 직원 채용 공고(행정직) | 8시간 전 등록
[2025-07-03 06:00:46] INFO - 0132 | 흥국생명보험㈜ | [2025년 본사직영 신규채용] 기본급300. 정착지윈금지급. 복합TM센터 | 8시간 전 등록
[2025-07-03 06:00:46] INFO - 0133 | 한화생명금융서비스㈜ | 부산시-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집. | 8시간 전 등록
[2025-07-03 06:00:46] INFO - 0134 | 한화생명금융서비스㈜ | 부천시-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집. | 8시간 전 등록
[2025-07-03 06:00:46] INFO - 0135 | 한국개발연구원 | 2025년 3분기 한국개발연구원(KDI) 직원 채용 공고(연구직)-서울 | 8시간 전 등록
[2025-07-03 06:00:46] INFO - 0136 | 르와조 | 마곡 핸드드립 카페 신입 바리스타 | 8시간 전 등록
[2025-07-03 06:00:47] INFO - 0137 | 에이아이에이프리미어파트너스㈜ | [청담동-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용. | 8시간 전 등록
[2025-07-03 06:00:47] INFO - 0138 | ㈜모플 | 2025년 오프라인MD 모집 (주식회사 모플) | 8시간 전 등록
[2025-07-03 06:00:47] INFO - 0139 | 에이아이에이프리미어파트너스㈜ | [대구시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용. | 8시간 전 등록
[2025-07-03 06:00:47] INFO - 0140 | 더바른컴퍼니 | 이커머스 웹 디자인&AMD | 8시간 전 등록
[2025-07-03 06:00:47] INFO - 0141 | 에이아이에이프리미어파트너스㈜ | [광주시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용. | 8시간 전 등록
[2025-07-03 06:00:47] INFO - 0142 | 한국개발연구원 | 2025년 3분기 한국개발연구원(KDI) 직원 채용 공고(연구직)-세종 | 8시간 전 등록
[2025-07-03 06:00:47] INFO - 0143 | ㈜케이씨엠에스 | 파주 LGD 레거시 EAS 시스템 개발 (k03) | 8시간 전 등록
[2025-07-03 06:00:48] INFO - 0144 | 신한생명보험 | [본사직영 콜센터 직원 모집] 안정적인 급여 및 교육비/ 정착지원금 지급 | 8시간 전 등록
[2025-07-03 06:00:48] INFO - 0145 | 칸디앤씨 | 텔레마케터 채용 및 교육 전담팀장 특채 | 8시간 전 등록
[2025-07-03 06:00:48] INFO - 0146 | 칸디앤씨 | 1군건설사 전문 분양회사 | 8시간 전 등록
[2025-07-03 06:00:48] INFO - 0147 | ㈜고려인슈런스 | 자동차보험료 산출(사무직) | 8시간 전 등록
[2025-07-03 06:00:48] INFO - 0148 | 굿리치 밸류지점 | [강남역-다양한 DB/섭시드 지원] 개인/법인 컨설턴트 및 관리자 채용. | 8시간 전 등록
[2025-07-03 06:00:48] INFO - 0149 | 굿리치 밸류지점 | [본사 직영 운영-조건 최고] 차세대 금융전문가 과정 공개 채용. | 8시간 전 등록
[2025-07-03 06:00:48] INFO - 0150 | 사랑모아금웅서비스박숙영 | [지점장/관리자급 모집] 파격적인 지원/ 법인카드 지급/ 쾌적한 업무환경 | 8시간 전 등록
[2025-07-03 06:00:48] INFO - ⏱ 2.84초 대기
[2025-07-03 06:00:52] INFO - 
📄 현재 페이지: 4
[2025-07-03 06:00:52] INFO - 0151 | ㈜에그팜 | 회계 및 경리 담당자 모집 | 8시간 전 등록
[2025-07-03 06:00:52] INFO - 0152 | ㈜에그팜 | 총무 및 가맹점 관리 담당자 모집(물품 배송 업무 포함) | 8시간 전 등록
[2025-07-03 06:00:52] INFO - 0153 | 부동산직방114 | 출근만 잘해도 기본급 주는 분양직원 강남본점및 전국지사 특채5명 긴급 | 8시간 전 등록
[2025-07-03 06:00:53] INFO - 0154 | ㈜에그팜 | 에그팜 프랜차이즈 가맹사업팀(가맹점영업팀) 채용공고 | 8시간 전 등록
[2025-07-03 06:00:53] INFO - 0155 | 누구나광고왕 | [기본급/성과급] 인플루언서 마케팅 광고영업 사원 채용 | 8시간 전 등록
[2025-07-03 06:00:53] INFO - 0156 | 부동산직방114 | [텔레마케팅] 특1군건설사 특채 분양 홍보관 모델하우스 분양홍보실 (선착 | 8시간 전 등록
[2025-07-03 06:00:53] INFO - 0157 | 에이아이에이프리미어파트너스㈜ | [야당동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용. | 8시간 전 등록
[2025-07-03 06:00:53] INFO - 0158 | ㈜예진 | [경력]경영지원실 재무회계팀 | 8시간 전 등록
[2025-07-03 06:00:53] INFO - 0159 | 칸디앤씨 | 시행사 직영1군 직영대행사 TM 금융 자산관리사 분양 매니저 | 8시간 전 등록
[2025-07-03 06:00:54] INFO - 0160 | ㈜예진 | [경력3년이상] 전략기획실 직원 채용 | 8시간 전 등록
[2025-07-03 06:00:54] INFO - 0161 | 에이아이에이프리미어파트너스㈜ | [청담동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용. | 8시간 전 등록
