[2025-07-08 06:00:01] INFO - 🔧 Logging initialized
[2025-07-08 06:00:01] INFO - 프로그램 시작됨
[2025-07-08 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-08 06:00:15] INFO - 🔢 총 공고 수: 176933건 → 최대 페이지 수: 3539 페이지
[2025-07-08 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-08 06:00:39] INFO - 0108 | ㈜노바 | 센스 넘치는 2D 애니메이터 모집합니다. | 6시간 전 등록
[2025-07-08 06:00:39] INFO - 0109 | 유한회사 비디오슈퍼마켓 | 업무제휴 및 협업, 콘텐츠 마케팅 담당 직원 모집 | 6시간 전 등록
[2025-07-08 06:00:39] INFO - 0110 | 유한회사 비디오슈퍼마켓 | SNS 및 유튜브 컨텐츠, 쇼츠, 숏폼 작가 모집 | 6시간 전 등록
[2025-07-08 06:00:39] INFO - 0111 | ㈜청평페리 | 커브디아일랜드호 컨시어지 근무자모집(계약직) | 6시간 전 등록
[2025-07-08 06:00:39] INFO - 0112 | 투디컬 | 병원블로그마케팅 원고 작가님을 모십니다.재택근무 | 6시간 전 등록
[2025-07-08 06:00:39] INFO - 0113 | 투디컬 | 재택근무 [병원블로그마케팅] 원고 작가님을 모십니다. | 6시간 전 등록
[2025-07-08 06:00:39] INFO - 0114 | 런쿡㈜ | 채소,과일 전처리 팀장, 해썹경력 우대 | 6시간 전 등록
[2025-07-08 06:00:40] INFO - 0115 | ㈜정담은기프트 | 온라인 쇼핑몰 물류 입출고 및 재고관리 / 사무보조 | 6시간 전 등록
[2025-07-08 06:00:40] INFO - 0116 | 리버스 프로덕션 | [ 주식 유튜브 촬영 전문가 ]( 주식DB 수집, 역대급 최고 정착지원금 지원) | 6시간 전 등록
[2025-07-08 06:00:40] INFO - 0117 | 동보로지스 | 냉동창고지게차기사 | 6시간 전 등록
[2025-07-08 06:00:40] INFO - 0118 | 에듀한국학원 | 첨삭수업 수학강사님을 모십니다. | 6시간 전 등록
[2025-07-08 06:00:40] INFO - 0119 | ㈜스마일커뮤니케이션즈 | 영업 사무관리직 채용 | 6시간 전 등록
[2025-07-08 06:00:40] INFO - 0120 | 디에이취엠씨 | 품질 지도 및 검사 요원 모집 | 6시간 전 등록
[2025-07-08 06:00:41] INFO - 0121 | ㈜도레도레 | (주)도레도레 신규 베이커리 브랜드 아모르나폴리 용산점 바리스타 모집 | 6시간 전 등록
[2025-07-08 06:00:41] INFO - 0122 | ㈜유니에스 | [전주/사무직/대기업] 롯데백화점 전주점 사무보조 직원 채용 | 6시간 전 등록
[2025-07-08 06:00:41] INFO - 0123 | ㈜유니에스 | 광주 출퇴근 가능 금호화순스파리조트 한식당 조리원 / 룸메이드 채용 | 6시간 전 등록
[2025-07-08 06:00:41] INFO - 0124 | 책나무글꽃학원 | 국어학원 강사 구인 | 6시간 전 등록
